summary,letter
"백엔드 공부를 하는데 에러가 많이 난다고 했다.
행궁동에 있는 행궁이 보이는 카페에 가기로 했다.
집에 잘 도착했다고 말했다.","지원이에게 
안녕 지원아! 생일 축하해! 
잘 지내? 백엔드 공부는 어떻게 되어가? 에러 많이 난다고 했는데도 계속 공부하는 모습 정말 멋있어. 백엔드 공부 뿐만 아니라 다른 모든 일도 늘 최선을 다하는 네 모습을 보면 늘 나도 열심히 살아야겠다는 생각이 들더라. 백엔드 공부도 다른 일도 다 좋은 결과 있기를 응원할게! 
마지막으로 본 게 행궁동에 갔을 때인데 기억 나? 사실 그때 여러 생각도 많고 조금 힘든 시기였는데 너랑 늘 가고 싶던 행궁동에 가니까 너무 좋았었어. 특히 행궁이 보이는 카페에서 너랑 대화하면서 마음이 잘 맞는 친구가 있다는 게 너무 기뻤어. 덕분에 집으로 돌아오는 길에 무거웠던 마음이 좀 가벼워졌어. 너도 나랑 네가 잘 맞는다고 생각했으면 좋겠다. 너도 언제든지 힘들 거나 지칠 때 나한테 말해줘! 
요즘 바빠서 네 얼굴을 자주 못 봤는데 오랜만에 네 생일을 맞아 만날 생각을 하니까 정말 설레. 생일 다시 한 번 축하하고 오늘 하루 정말 행복하게 보내자! 
민지가"
"넷플릭스 드라마가 재밌다고 했다. 
집들이 겸 생일파티 한다고 만나기로 했다. 
취업 준비가 힘들다고 했다. 
영화 엘리멘탈이 재밌다고 했다.","다현이에게 
안녕 다현아! 생일 축하해! 요즘 어떻게 지내? 
취업 준비하느라 고생이 많아. 네 노력이 꼭 빛을 발할 거라고 생각해! 그리고 언제든 시간나면 연락해줘. 밥이라도 같이 먹자! 
저번 집들이 겸 내 생일파티 왔을 때 마지막으로 봤었네. 그때 센스있게 즉석 카메라 가져와서 사진 찍어줘서 너무 고마워. 그 사진 침대 옆 벽에 붙여뒀어. 집들이가 너 덕분에 너무 재밌었어서 사진 볼 때마다 그 추억이 생각나서 기분이 좋더라. 
그리고 집들이 때 영화 엘리멘탈 재밌다고 했었잖아. 그래서 그 이후에 나도 영화관에서 엘리멘탈 봤는데 진짜 재밌더라! 너는 어떤 점에서 영화가 재밌다고 느꼈는지 궁금해. 그 전에 네가 추천한 넷플릭스 드라마도 재밌었는데 앞으로 네 추천 많이 믿고 봐야겠다. 
다시 한 번 생일 축하하고 오늘 하루 잘 보내길 바랄게! 너의 생일을 함께하지 못해 아쉽지만 마음만은 항상 네 곁에 있다는 거 잊지 말아줘! 
민지가"
"전완근 사진을 보내주며 클라이밍을 하고 있다고 했다.
본가 놀러가서 게임을 하자고 한다.
호수 사진을 보냈다.","효성이에게 
효성아 안녕! 생일 축하해! 요즘 잘 지내? 
나는 요즘 클라이밍을 하고 있어! 네가 전에 네 전완근 사진 보내주면서 자랑했을 때 나도 클라이밍 해야겠다고 말했잖아. 생각보다 무섭지도 않고 성취감이 크더라. 네 덕분에 좋은 취미 생겨서 고마워. 다음에 같이 네 본가 근처에서 클라이밍 가는건 어때? 
전에 네 본가 놀러갔을 때 진짜 즐거웠거든. 처음 해본 게임도 재밌었고 네가 늘 사진으로 보여줬던 호수도 실제로 보니까 더 예쁘더라. 언제 우리 둘 다 시간 나면 또 놀러갈게. 그리고 내가 사는 도시도 언제든지 놀러와도 돼. 
다시 한 번 생일 축하하고 오늘 하루 맛있는거 많이 먹고 행복하게 보내길 바랄게! 앞으로도 서로의 생일을 진심으로 축하해주는 친구가 되자. 
민지가"
"미래에 어떤 일을 해야 할지 모르겠다고 했다.
엽떡이 먹고 싶다고 했다.
요새 피곤하다고 했다.","지우에게
지우야 생일 축하해!
요새 어때? 난 요즘 미래 걱정 때문에 많이 힘들기도 하고 불안하기도 한데. 그래도 너랑 대화하면서 힘을 많이 얻고 있어. 고마워. 
나도 너한테 그렇게 도움이 됐으면 좋겠는데 말이야. 언제든지 힘든 일 있거나 걱정되는 일 있으면 나한테 말해! 진심으로 응원하고 상의해 줄게!
우리 둘 다 엽떡 정말 좋아하잖아. 왠지 너랑 엽떡 먹으면 다른 애들이랑 먹는 것보다 더 맛있는 거 같아. 네가 먹을 때 반응이 좋아서 그런가?
시간 나면 같이 엽떡도 먹으러 가고 다른 맛있는 것도 많이 먹자! 너 요즘 몸이 피곤하다고 해서 내가 걱정이 이만저만이 아니야. 건강 챙기자! 
건강은 한 번 안 좋아지면 다시 건강해지기 힘든 거 알지? 건강해야지 하고 싶은 것들도 다 하고 먹고 싶은 것들도 다 먹고 행복하게 지내잖아. 
그리고 건강해야지 100살까지 나랑 친하게 지낼 거 아니야. 몸 관리 잘해야 해!
오늘 진짜 생일 축하하고 행복한 하루 보내! 항상 고맙고 넌 정말 나한테 소중한 친구야! 생일 축하해!
지연이가"
"영국 여행이 재미있었다고 했다.
집에 묵게 해서 고맙다고 했다.
된장찌개 요리해줘서 고맙다고 했다.","가연이에게
가연아 안녕? 잘 지내고 있어? 생일 진심으로 축하해.
우리가 마지막 본 것은 내가 널 보러 영국에 갔을 때였던 것 같은데 그게 1년 전이네. 시간 빨리 지나간다, 그렇지? 그때 처음으로 영국에 간 것인데 덕분에 영국 여행이 더 재밌고 특별한 것 같아. 맨체스터 구경 시켜줘서 고마워. 덕분에 맨체스터 도시도 알게 되었어. 
2주 동안 너희 집에서 묵게 해줘서 고마워. 숙박비를 아낄 수 있어서 얼마나 다행인지 몰라. 진짜 고마워. 영국 얘기하니까 네가 끓인 된장찌개가 생각이 나네. 네가 만든 된장찌개가 제일 최고야! 진짜 맛있고 집밥 먹은 느낌이었어.
우리 또 언제 볼까? 한국에 놀러 오면 말해줘. 서울 구경 시켜줄게. 나중에 한국에 오면 밥이든 쇼핑이든 내가 크게 쏠게! 
다시 한번 생일 축하하고 우리 빨리 만나자! 보고 싶다.
하님이가"
"요즘 발레를 배우고 있다고 했다. 
발레 같이 하자고 했다.
필름 카메라로 찍은 사진 프린트했다고 했다.","미연이에게
안녕 미연아! 생일 축하해! 잘 지내고 있어?
나는 요즘 발레를 배우고 있어! 내가 어릴 때 발레를 해본 적 있다고 얘기했었던 것 같은데 마음먹고 다시 시작했어. 너도 발레를 배워보고 싶다고 했었잖아? 내가 다니는 학원을 소개해 줄까? 너와 함께 춤추는 모습을 생각하면 진짜 재밌을 것 같아!
그리고 전에 제주도에서 필름 카메라로 찍은 사진 어제 사진점에 현상 맡겼어! 조만간 너한테 보여줄게. 우리 제주도 갔을 때 성격이 잘 맞아서 여행 중에 한번도 안 다퉜잖아. 그래서 계속 너랑 같이 여행하고 싶어. 다음에는 외국으로 가볼까? 동남아가 좀 저렴해서 가기 좋을 것 같아.
오늘 하루 행복하게 보내길 바라고 앞으로도 친구 하자. 다시 한번 생일 축하해.
하님이가 "
"과제가 어렵다고 했다.
빙수 사줘서 고맙다고 했다.
과제 제출했다고 했다.

","미연이에게
미연이 안녕! 오늘이 생일이네. 생일 축하해 미연아! 오늘 행복이 가득한 하루가 되길 바라.
전에 과제가 어렵다고 내 얘기 들어줘서 고마워. 들은 것만으로도 고마운 일인데 나 기분 좋게 하려고 설빙 가서 빙수까지 사줬잖아. 그때 좋은 친구가 있는게 왜 중요한지 깨달았어. 잠시나마 너랑 시간을 보내고 스트레스를 해소할 수 있었어. 네가 없었으면 과제 포기하고 제출하지 않으려고 했었는데 네가 사준 빙수와 응원의 말 덕분에 기분도 좋아지고 과제도 잘 제출했어. 다시 한번 고마워 미연아. 
그리고 우리 만화방 또 언제 가? 너랑 만화방에서 같이 만화책 읽는 것이 제일 즐거워. 방학 때 한가하면 나랑 또 만화방가서 만화책도 읽고 음식도 시키자. 
생일 축하해 미연아. 항상 행복했으면 좋겠어. 사랑해.
하님이가"
"공원에서 산책을 하자고 했다.
공원에서 이야기하는 것 나쁘지 않다고 했다.

","세정이에게,
세정아 안녕! 24번째의 생일 진심으로 축하해! 오늘은 네가 제일 행복한 하루 보내길 바라.
우리가 2주 전에 마지막으로 본 것 같은데 서로 근황 얘기는 주로 카페에서만 했는데 공원에서 하니까 새로웠어. 밖 공기 마시면서 서로에 관해 이야기하는 것이 네 말대로 나쁘지 않더라. 네가 아직도 뭐 하고 싶은지 몰라서 힘들다고 했잖아. 내가 들은건데 20대는 다 해보고 경험하는 나이래. 하고 싶은 거 다 하고 도전하고 배우는게 좋다더라. 30대가 되면 그 수많은 해봤던 일 중 자기랑 잘 맞는 것을 골라서 하는 것이 성공하는 방법이라더라고. 그래서 미래에 대한 걱정을 버리고 네가 지금 원하는거 다 해봤으면 좋겠어! 실패는 성공의 어머니라는 말이 있잖아? 네가 선택한 모든 일에 항상 내가 응원하고 있다는 걸 잊지 마! 
생일 축하하고 좋은 일만 가득하길 바랄게. 사랑해.
하님이가"
"부모님께서 반찬을 하셨는데 나눠준다고 한다.
도자기 공방에 가고 싶다 했다.","세정이에게,
세정아 안녕! 23번째 생일 진심으로 축하해! 오늘이 생일인 만큼 오늘 하루 잘 보내길 바라.
네가 지금 가족들이랑 오랜만에 만나서 좋은 시간을 보내고 있다니까 나도 보기 좋아. 부모님께 지난번에 싸주신 반찬 맛있게 먹었다고 말씀드려 줘. 덕분에 오랜만에 직접 만든 반찬을 먹어봤다. 너의 따뜻함이 어디서 왔는지 알겠더라. 너도 내가 열람실에서 공부하는데 잠이 오면 음료수를 사주고 안 좋은 일이 있으면 내 얘기를 들어주는 따뜻한 친구잖아.
그나저나 서울로 언제 올라와? 올라와서 나랑 공방 데이트하자. 도자기 공방이야. 지난번에 네가 공방 가고 싶다고 했었잖아. 학교 근처 원데이클래스 하는 곳이 있어. 학생한테는 10% 할인을 해준대. 재밌겠다! 
생일 다시 한번 축하하고 앞으로 할 일이 수월하게 잘 되길 바라. 사랑해.
하님이가"
"병원에 같이 가주겠다고 한다. 
약 잘 먹고 있냐고 물어봤다.
다음 주 시험 있다고 했다.","세정이에게,
세정아 안녕! 생일 축하해. 오늘이 너의 생일인데 내 생일인 것처럼 행복해.
전에 내가 복통이 심했을 때 병원 같이 가줘서 고마워. 검진 과정 내내 내 옆에 있어주고 처방받은 약도 받아줘서 고마워. 네가 아니었으면 병원 가기 힘들었을 거야. 그때 너무 아파서 제대로 생각도 못 했거든. 역시 혼자 사는건 쉽지 않은 것 같다. 네가 걱정할까 봐 얘기하는데 나 점점 나아지고 있어. 약 잘 먹고 있으니까 너무 걱정하지 마. 고맙다는 의미에서 다음에 내가 맛있는 것 사줄게. 옆에서 도와줘서 다시 한 번 고마워. 네가 내 친구라는건 진짜 행운이라고 생각해. 
다음 주가 기말고사인데 공부는 잘 되어 가? 너는 항상 열심히 하니까 잘할 수 있을 거야. 쉬엄쉬엄해 알았지? 시험 끝나고 나랑 놀자! 
생일 다시 한번 축하하고 기말고사 화이팅! 사랑해.
하님이가"
